time,x,y,s,a,dis,o,dir,event,nflId,displayName,jerseyNumber,position,team,frameId,gameId,playId,playDirection,yardLine,playDescription,quarter,down,yardsToGo,possessionTeam,specialTeamsPlayType,specialTeamsResult,kickerId,returnerId,kickBlockerId,yardlineSide,yardlineNumber,gameClock,penaltyCodes,penaltyJerseyNumbers,penaltyYards,preSnapHomeScore,preSnapVisitorScore,passResult,kickLength,kickReturnYardage,playResult,absoluteYardlineNumber,ep,epa,wp,wpa,half_seconds_remaining,kick_distance,punt_downed,punt_fair_catch,punt_returner_player_name,wind,punt_inside_twenty,punt_in_endzone,punt_out_of_bounds,forced_fumble_player_1_player_name
2018-12-30T21:58:05Z,34.04,43.35,2.86,7.34,0.57,NA,NA,fair_catch,NA,football,NA,NA,football,76,2018123000,892,left,24.04,"(2:55) (Punt formation) B.Colquitt punts 48 yards to BAL 23, Center-C.Hughlett, fair catch by C.Jones.",1,4,1,CLE,Punt,Fair Catch,34723,43349,NA,CLE,29,02:55:00,NA,NA,NA,10,7,NA,48,NA,48,81,-0.8254203507676721,-0.20180170703679323,0.2886045277118683,-0.010690540075302124,1075,48,0,1,C.Jones,2,0,0,0,NA
2018-12-30T22:13:40Z,100.46,24.42,6.57,2.16,0.73,NA,NA,punt_land,NA,football,NA,NA,football,71,2018123000,1267,right,9.540000000000006,"(12:32) (Punt formation) B.Colquitt punts 48 yards to end zone, Center-C.Hughlett, Touchback.",2,4,7,CLE,Punt,Touchback,34723,NA,NA,BAL,48,12:32:00,NA,NA,NA,17,7,NA,48,NA,28,62,-0.3158534576650709,-0.5098880457226187,0.156224325299263,0.005223378539085388,752,NA,0,0,NA,2,0,0,0,NA
2018-12-30T22:44:56Z,54.37,35.38,5.28,4.6,0.7,NA,NA,fair_catch,NA,football,NA,NA,football,78,2018123000,1976,right,44.37,"(1:34) B.Colquitt punts 39 yards to CLE 46, Center-C.Hughlett, fair catch by C.Jones.",2,4,10,CLE,Punt,Fair Catch,34723,43349,NA,CLE,7,01:34:00,NA,NA,NA,20,7,NA,39,NA,39,17,-1.2664095481159166,-1.328255127707962,0.07455413043498993,-0.0198318213224411,94,39,0,1,C.Jones,2,0,0,0,NA
2018-12-30T22:49:07Z,19.43,28.58,3.84,2.47,0.47,NA,NA,punt_land,NA,football,NA,NA,football,77,2018123000,2165,left,9.43,"(:42) (Punt formation) S.Koch punts 36 yards to CLE 06, Center-M.Cox, downed by BAL-C.Board.",2,4,17,BAL,Punt,Downed,31018,NA,NA,CLE,42,00:42:00,NA,NA,NA,20,7,NA,36,NA,36,52,0.37295192474266514,-0.33141707204049453,0.9187188744544983,-0.008914180099964142,42,36,1,0,NA,2,1,0,0,NA
2018-12-30T23:12:10Z,93.55,32.86,3.08,13.94,0.91,NA,NA,punt_received,NA,football,NA,NA,football,75,2018123000,2502,right,16.450000000000003,"(12:50) (Punt formation) S.Koch punts 53 yards to CLE 15, Center-M.Cox. A.Callaway to BAL 48 for 37 yards (M.Williams).",3,4,14,BAL,Punt,Return,31018,46174,NA,BAL,32,12:50:00,NA,NA,NA,20,7,NA,53,37,16,42,-0.9037898387759924,-1.7391672818921506,0.8916480541229248,-0.01146738976240158,1670,53,0,0,A.Callaway,2,0,0,0,NA
2018-12-30T23:36:38Z,32.16,40.91,5.89,4.99,0.77,NA,NA,fair_catch,NA,football,NA,NA,football,76,2018123000,2975,left,22.159999999999997,"(5:30) (Punt formation) B.Colquitt punts 45 yards to BAL 21, Center-C.Hughlett, fair catch by C.Jones.",3,4,11,CLE,Punt,Fair Catch,34723,43349,NA,CLE,34,05:30:00,NA,NA,NA,23,14,NA,45,NA,45,76,-1.2220209445804358,0.2781625231727958,0.12713611125946045,0.01182776689529419,1230,45,0,1,C.Jones,2,0,0,0,NA
2018-12-30T23:40:19Z,83.21,47,7.71,1.33,0.76,NA,NA,punt_land,NA,football,NA,NA,football,76,2018123000,3106,right,26.790000000000006,"(3:04) (Punt formation) S.Koch punts 56 yards to CLE 15, Center-M.Cox. A.Callaway ran ob at CLE 23 for 8 yards.",3,4,2,BAL,Punt,Return,31018,46174,NA,BAL,29,03:04:00,NA,NA,NA,23,14,NA,56,8,48,39,-0.6831727344542742,0.10413221595808864,0.8190057873725891,0.030288487672805786,1084,56,0,0,A.Callaway,2,0,0,0,NA
2018-12-30T23:40:20Z,93.47,48.22,2.26,4.53,0.24,NA,NA,punt_received,NA,football,NA,NA,football,94,2018123000,3106,right,16.53,"(3:04) (Punt formation) S.Koch punts 56 yards to CLE 15, Center-M.Cox. A.Callaway ran ob at CLE 23 for 8 yards.",3,4,2,BAL,Punt,Return,31018,46174,NA,BAL,29,03:04:00,NA,NA,NA,23,14,NA,56,8,48,39,-0.6831727344542742,0.10413221595808864,0.8190057873725891,0.030288487672805786,1084,56,0,0,A.Callaway,2,0,0,0,NA
2018-12-31T00:25:26Z,38.53,5.25,8.23,6.13,0.86,NA,NA,punt_received,NA,football,NA,NA,football,76,2018123000,4148,left,28.53,"(2:00) (Punt formation) S.Koch punts 51 yards to CLE 25, Center-M.Cox. A.Callaway to CLE 26 for 1 yard (A.Levine Sr.).",4,4,11,BAL,Punt,Return,31018,46174,NA,BAL,24,02:00:00,NA,NA,NA,26,24,NA,51,1,50,86,-0.8152546375058591,-0.04183584335260093,0.7714821100234985,-0.11702892184257507,120,51,0,0,A.Callaway,2,0,0,0,NA
2018-12-30T18:48:20Z,79.32,33.8,3.93,1.14,0.39,NA,NA,punt_land,NA,football,NA,NA,football,78,2018123001,1223,right,30.680000000000007,"(10:53) M.Haack punts 36 yards to BUF 26, Center-J.Denney. I.McKenzie to BUF 26 for no gain (M.Smith, S.Perry).",2,4,18,MIA,Punt,Return,45296,44985,NA,MIA,38,10:53:00,NA,NA,NA,14,0,NA,36,0,36,48,-0.9669535192660987,-0.31807368341833353,0.10952313244342804,0.001579567790031433,653,36,0,0,I.McKenzie,9,0,0,0,NA
