time,x,y,s,a,dis,o,dir,event,nflId,displayName,jerseyNumber,position,team,frameId,gameId,playId,playDirection,yardLine,playDescription,quarter,down,yardsToGo,possessionTeam,specialTeamsPlayType,specialTeamsResult,kickerId,returnerId,kickBlockerId,yardlineSide,yardlineNumber,gameClock,penaltyCodes,penaltyJerseyNumbers,penaltyYards,preSnapHomeScore,preSnapVisitorScore,passResult,kickLength,kickReturnYardage,playResult,absoluteYardlineNumber,ep,epa,wp,wpa,half_seconds_remaining,kick_distance,punt_downed,punt_fair_catch,punt_returner_player_name,wind,punt_inside_twenty,punt_in_endzone,punt_out_of_bounds,forced_fumble_player_1_player_name,dupe_count
2018-12-30T22:13:40Z,100.46,24.42,6.57,2.16,0.73,NA,NA,punt_land,NA,football,NA,NA,football,71,2018123000,1267,right,9.540000000000006,"(12:32) (Punt formation) B.Colquitt punts 48 yards to end zone, Center-C.Hughlett, Touchback.",2,4,7,CLE,Punt,Touchback,34723,NA,NA,BAL,48,12:32:00,NA,NA,NA,17,7,NA,48,NA,28,62,-0.3158534576650709,-0.5098880457226187,0.156224325299263,0.00522337853908538,752,NA,0,0,NA,2,0,0,0,NA,NA
2018-12-30T22:49:07Z,19.43,28.58,3.84,2.47,0.47,NA,NA,punt_land,NA,football,NA,NA,football,77,2018123000,2165,left,9.43,"(:42) (Punt formation) S.Koch punts 36 yards to CLE 06, Center-M.Cox, downed by BAL-C.Board.",2,4,17,BAL,Punt,Downed,31018,NA,NA,CLE,42,00:42:00,NA,NA,NA,20,7,NA,36,NA,36,52,0.37295192474266514,-0.33141707204049453,0.9187188744544984,-0.00891418009996414,42,36,1,0,NA,2,1,0,0,NA,NA
2018-12-30T23:12:10Z,93.55,32.86,3.08,13.94,0.91,NA,NA,punt_received,NA,football,NA,NA,football,75,2018123000,2502,right,16.450000000000003,"(12:50) (Punt formation) S.Koch punts 53 yards to CLE 15, Center-M.Cox. A.Callaway to BAL 48 for 37 yards (M.Williams).",3,4,14,BAL,Punt,Return,31018,46174,NA,BAL,32,12:50:00,NA,NA,NA,20,7,NA,53,37,16,42,-0.9037898387759924,-1.7391672818921506,0.8916480541229248,-0.01146738976240158,1670,53,0,0,A.Callaway,2,0,0,0,NA,NA
2018-12-30T23:40:20Z,93.47,48.22,2.26,4.53,0.24,NA,NA,punt_received,NA,football,NA,NA,football,94,2018123000,3106,right,16.53,"(3:04) (Punt formation) S.Koch punts 56 yards to CLE 15, Center-M.Cox. A.Callaway ran ob at CLE 23 for 8 yards.",3,4,2,BAL,Punt,Return,31018,46174,NA,BAL,29,03:04:00,NA,NA,NA,23,14,NA,56,8,48,39,-0.6831727344542742,0.10413221595808864,0.8190057873725891,0.03028848767280578,1084,56,0,0,A.Callaway,2,0,0,0,NA,NA
2018-12-30T19:00:21Z,97.91,5.77,3.04,0.53,0.3,NA,NA,fair_catch,NA,football,NA,NA,football,79,2018123001,1445,right,12.090000000000003,"(6:31) M.Haack punts 32 yards to BUF 11, Center-J.Denney, fair catch by M.Hyde.",2,4,17,MIA,Punt,Fair Catch,45296,40107,NA,BUF,43,06:31:00,NA,NA,NA,14,0,NA,32,NA,32,67,-0.06623938982374966,-0.00467529823072254,0.11508605629205704,-0.00522235780954361,391,32,0,1,M.Hyde,9,1,0,0,NA,NA
2018-12-30T19:44:50Z,96.08,23.03,3.08,5.76,0.52,NA,NA,punt_received,NA,football,NA,NA,football,82,2018123001,2289,right,13.920000000000002,"(13:58) M.Haack punts 54 yards to BUF 13, Center-J.Denney. I.McKenzie pushed ob at BUF 22 for 9 yards (S.Perry).",3,4,9,MIA,Punt,Return,45296,44985,NA,MIA,33,13:58:00,NA,NA,NA,14,14,NA,54,9,45,43,-1.469405537005514,0.4103599349036813,0.3941697776317597,0.04580345749855041,1738,54,0,0,I.McKenzie,9,0,0,0,NA,NA
2018-12-30T18:57:38Z,23.38,11.72,4.94,2.16,0.56,NA,NA,fair_catch,NA,football,NA,NA,football,75,2018123002,1499,left,13.38,"(6:42) J.Scott punts 35 yards to DET 14, Center-H.Bradley, fair catch by T.Jones.",2,4,5,GB,Punt,Fair Catch,46241,41418,NA,DET,49,06:42:00,NA,NA,NA,0,14,NA,35,NA,35,59,0.09638905944302678,-0.2855722140520811,0.15666480362415314,-0.00437064468860626,402,35,0,1,T.Jones,15,1,0,0,NA,NA
2018-12-30T19:21:50Z,11.99,16.73,7.01,3.28,0.8,NA,NA,punt_land,NA,football,NA,NA,football,82,2018123002,2152,left,1.99,"(:09) J.Scott punts 55 yards to end zone, Center-H.Bradley, Touchback.",2,4,6,GB,Punt,Touchback,46241,NA,NA,GB,45,00:09:00,NA,NA,NA,0,21,NA,55,NA,35,65,0.1268732617609203,-0.1268732617609203,0.05613171309232712,0.02454925328493118,9,NA,0,0,NA,15,0,0,0,NA,NA
2018-12-30T19:46:50Z,18.36,14.88,5.48,2.53,0.64,NA,NA,fair_catch,NA,football,NA,NA,football,69,2018123002,2503,left,8.36,"(8:32) S.Martin punts 32 yards to GB 9, Center-D.Muhlbach, fair catch by J.Jackson.",3,4,8,DET,Punt,Fair Catch,40113,46114,NA,GB,41,08:32:00,NA,NA,NA,0,21,NA,32,NA,32,51,-0.10657311277464032,-0.2401366967242211,0.9624502062797546,-0.00884140655398368,1412,32,0,1,J.Jackson,15,1,0,0,NA,NA
2018-12-30T18:07:29Z,97.86,24.16,6.34,2.71,0.7,NA,NA,punt_muffed,NA,football,NA,NA,football,81,2018123003,228,right,12.14,"(12:16) L.Cooke punts 49 yards to HOU 12, Center-M.Overton, downed by JAX-D.Chark. Jacksonville challenged the kick downed ruling, and the play was REVERSED. L.Cooke punts 49 yards to HOU 12, Center-M.Overton. D.Carter MUFFS catch, RECOVERED by JAX-B.Brown at HOU 10.",1,4,9,JAX,Punt,Muffed,46316,42794,NA,JAX,39,12:16:00,NA,NA,NA,0,0,NA,51,NA,51,49,-0.9977615508250892,6.209282921336126,0.460035115480423,0.1642197072505951,1636,51,0,0,D.Carter,NA,1,0,0,NA,NA
